year,month,tmax_c,tmax_estimated,tmin_c,tmin_estimated,air_frost_days,air_frost_estimated,rain_mm,rain_estimated,sun_hours,sun_estimated
1853,1,8.4,False,2.7,False,4.0,False,62.8,False,,False
1853,2,3.2,False,-1.8,False,19.0,False,29.3,False,,False
1853,3,7.7,False,-0.6,False,20.0,False,25.9,False,,False
1853,4,12.6,False,4.5,False,0.0,False,60.1,False,,False
1853,5,16.8,False,6.1,False,0.0,False,59.5,False,,False
1853,6,20.1,False,10.7,False,0.0,False,82.0,False,,False
1853,7,21.2,False,12.2,False,0.0,False,86.2,False,,False
1853,8,20.2,False,10.8,False,0.0,False,72.3,False,,False
1853,9,17.3,False,8.4,False,0.0,False,51.3,False,,False
1853,10,13.9,False,7.4,False,0.0,False,102.3,False,,False
1853,11,8.7,False,2.3,False,10.0,False,49.6,False,,False
1853,12,3.7,False,-1.3,False,19.0,False,10.7,False,,False
1854,1,6.7,False,1.5,False,11.0,False,54.5,False,,False
1854,2,8.0,False,0.6,False,12.0,False,22.6,False,,False
1854,3,11.2,False,2.2,False,8.0,False,10.6,False,,False
1854,4,15.0,False,3.5,False,2.0,False,19.9,False,,False
1854,5,16.2,False,5.7,False,1.0,False,82.1,False,,False
1854,6,18.6,False,9.7,False,0.0,False,45.2,False,,False
1854,7,21.7,False,11.6,False,0.0,False,37.2,False,,False
1854,8,20.9,False,10.7,False,0.0,False,45.4,False,,False
1854,9,20.2,False,8.4,False,0.0,False,11.4,False,,False
1854,10,13.9,False,5.6,False,2.0,False,57.7,False,,False
1854,11,8.2,False,2.0,False,5.0,False,32.4,False,,False
1854,12,8.3,False,2.1,False,8.0,False,30.7,False,,False
1855,1,4.4,False,-0.4,False,18.0,False,6.9,False,,False
1855,2,1.7,False,-4.5,False,20.0,False,33.7,False,,False
1855,3,7.7,False,0.1,False,15.0,False,56.0,False,,False
1855,4,13.0,False,2.7,False,9.0,False,10.6,False,,False
1855,5,15.0,False,4.9,False,3.0,False,45.1,False,,False
1855,6,19.4,False,9.3,False,0.0,False,60.0,False,,False
1855,7,22.8,False,13.4,False,0.0,False,129.3,False,,False
1855,8,21.7,False,12.2,False,0.0,False,42.6,False,,False
1855,9,19.0,False,10.4,False,0.0,False,59.7,False,,False
1855,10,14.0,False,8.2,False,0.0,False,143.1,False,,False
1855,11,7.9,False,3.4,False,4.0,False,25.2,False,,False
1855,12,5.7,False,-0.1,False,13.0,False,28.1,False,,False
1856,1,6.8,False,2.0,False,10.0,False,74.7,False,,False
1856,2,8.2,False,3.0,False,8.0,False,33.4,False,,False
1856,3,7.9,False,0.6,False,11.0,False,23.9,False,,False
1856,4,12.9,False,4.1,False,2.0,False,64.9,False,,False
1856,5,14.0,False,5.7,False,2.0,False,110.1,False,,False
1856,6,20.2,False,9.5,False,0.0,False,64.8,False,,False
